naics3,tariff_import_value,pre_imports_annual,exposure_share
111,52731867.316345215,36051044688.0,0.001462700117921898
112,132733.3338623047,5998844410.0,2.2126483834293127e-05
113,13464625.66796875,2478630919.5,0.005432283427935649
114,34049142.3671875,15536076335.0,0.0021916178598119316
211,6413.0,126013088320.0,5.089153900993766e-08
212,38119551.595458984,4607287287.5,0.008273751823308454
311,932691467.0071411,59399584074.5,0.015701986496022315
312,11159955.916015625,23750193457.0,0.0004698890531658554
313,518777394.3007736,8217737732.0,0.06312897919346419
314,616893718.685669,21140558252.5,0.029180578455761334
315,623741853.2900391,84540833084.5,0.007377995112333451
316,3368706520.8953094,38197512012.0,0.08819177855973992
321,1087337094.7805786,19472313487.5,0.05584015969538394
322,637681393.8116455,19705652665.0,0.03236032851346543
323,137683510.375,5512574182.0,0.024976264414649105
324,170618705.02416992,45844813615.5,0.003721657731126302
325,5231779344.284447,216325847214.0,0.024184716767150425
326,3490715044.047119,51414507719.5,0.06789358099257253
327,1755843258.5163574,22397184029.0,0.07839571511502882
331,528776634.9416504,85940608372.5,0.006152814658347855
332,3781000009.2890625,68050865837.0,0.05556137989993496
333,9824736062.18872,160315281338.5,0.061283840069145626
334,10838657702.206238,386393663807.5,0.02805081634984061
335,10481730269.749023,108897521553.0,0.09625315728280928
336,4369676914.520081,379871610015.5,0.01150303628729134
337,1253470454.3125,40156649332.5,0.031214518022499155
339,629253436.6672363,119795655292.0,0.00525272335739924
910,75719642.59692383,5418003298.5,0.013975562292087783
930,1936694.3310546875,11592904286.5,0.00016705859750002237
990,5922001.501953125,20920206236.5,0.0002830756750199175
