naics3,emp,est,emp_per_est
113,175810,27551,6.381256578708577
114,18401,9317,1.9749919501985618
115,342860,33495,10.236154649947753
211,331170,19800,16.725757575757576
212,436161,13512,32.27952930728242
213,946383,43824,21.595084884994524
221,2127852,58453,36.40278514361966
236,5889534,921306,6.392592689073989
237,3747428,131293,28.542481320405507
238,18245496,1886290,9.672688717005338
311,4221018,84571,49.91093873786522
312,886630,36222,24.477665507150352
313,146405,3446,42.48549042367963
314,294421,14879,19.78768734457961
315,207357,15350,13.508599348534203
316,38568,1922,20.06659729448491
321,1094280,37759,28.98064037712863
322,729266,9436,77.2855023314964
323,1560980,86855,17.97225260491624
324,251044,4491,55.899354264083726
325,2310415,37196,62.11460909775245
326,2257984,34818,64.85105405250158
327,1028931,40957,25.12222574895622
331,737833,7443,99.13112992073088
332,4618702,181539,25.44192707902985
333,2836086,64010,44.306920793626
334,2604787,36571,71.22547920483443
335,728490,12839,56.74040034270582
336,4300208,28868,148.96106415408065
337,1103489,45933,24.023882611629983
339,1850266,82755,22.358359011540088
423,13104781,845598,15.497649001061971
424,8193686,437041,18.748094572362778
425,941268,141056,6.673009301270417
441,7987083,450063,17.74658881089981
442,1788664,179385,9.971090113443154
443,1047696,90134,11.623760179288615
444,5002278,270103,18.51989056026775
445,12518363,581730,21.519197909683186
446,4004690,364943,10.973467089381082
447,3925390,442362,8.873705245929804
448,6360784,513534,12.386295746727578
451,1777480,152396,11.663560723378566
452,10579896,218425,48.437202701156004
453,2944954,401003,7.343969995236943
454,3362752,316143,10.636806761497171
481,2024954,13915,145.52310456342076
483,215706,4808,44.86397670549085
484,6335666,565061,11.212357603869316
485,1698407,65987,25.738509100277327
486,123750,7188,17.216193656093488
487,92376,9066,10.189278623428192
488,2907405,170399,17.062336046573044
492,3656703,57002,64.15043331812919
493,4259508,62440,68.21761691223574
511,3826251,101705,37.6210707438179
512,1172077,104040,11.265638216070743
515,996437,24905,40.00951616141337
517,3954517,243786,16.221263731305324
518,2125508,58964,36.047554439997285
519,1418324,46192,30.704970557672326
521,22416,48,467.0
522,11360013,731016,15.540033323484028
523,3652001,403016,9.06167745201183
524,9912250,696791,14.225571225805155
525,25434,5150,4.938640776699029
531,6774494,1513885,4.47490661443901
532,1932699,181864,10.627166454053578
533,136084,8316,16.364117364117366
541,36218197,3680632,9.840211409344917
551,14052347,201735,69.65745656430465
561,27933883,1540891,18.128396492678586
562,1591501,87739,18.139037372206204
611,14068198,413005,34.0630210288011
621,31131242,2526278,12.322967622724024
622,19066813,16483,1156.7562336953224
623,13288665,353620,37.57894067077654
624,13511846,715040,18.8966295591855
711,2010007,223509,8.992957777986568
712,547610,22086,24.794439916689306
713,6735532,317398,21.2210915002615
721,8235529,264455,31.141513679075835
722,48701352,2644254,18.41780403849252
811,5063441,833792,6.072786738179306
812,5914358,965392,6.1263797504019095
813,10870673,1199108,9.065632953829013
