table,raw_lines,rows,columns,id_columns,output_file
ERChemicalComposition,440825,881648,4,,processed\bis232\bis232_erchemicalcomposition.csv.gz
ERProductClassification,13665515,27329374,3,,processed\bis232\bis232_erproductclassification.csv.gz
ERProductDimensions,2644940,5289878,4,,processed\bis232\bis232_erproductdimensions.csv.gz
ERProductProcessing_Processes,2204117,4408232,4,,processed\bis232\bis232_erproductprocessing_processes.csv.gz
ERProductProcessing_ProcessesPercentage,1322471,2644940,4,,processed\bis232\bis232_erproductprocessing_processespercentage.csv.gz
ERProductStrength,1322471,2644900,4,,processed\bis232\bis232_erproductstrength.csv.gz
ERSourceCountries,886166,1585493,6,,processed\bis232\bis232_ersourcecountries.csv.gz
ERToughnessJoules,1322471,2641387,3,,processed\bis232\bis232_ertoughnessjoules.csv.gz
ERToughnessShear,1322471,2644702,3,,processed\bis232\bis232_ertoughnessshear.csv.gz
ERToughnessTemperature,1322471,2644694,3,,processed\bis232\bis232_ertoughnesstemperature.csv.gz
ExclusionRequests,615498,836561,114,,processed\bis232\bis232_exclusionrequests.csv.gz
ObjectionFilings,377327,568334,75,,processed\bis232\bis232_objectionfilings.csv.gz
ObjectionRebuttals,191146,334164,58,,processed\bis232\bis232_objectionrebuttals.csv.gz
OFChemicalComposition,6522294,13044582,4,,processed\bis232\bis232_ofchemicalcomposition.csv.gz
OFProductDimensions,1397636,2795270,4,,processed\bis232\bis232_ofproductdimensions.csv.gz
OFProductProcessing_Processes,1164697,2329392,4,,processed\bis232\bis232_ofproductprocessing_processes.csv.gz
OFProductProcessing_ProcessesPercentage,698819,1397636,4,,processed\bis232\bis232_ofproductprocessing_processespercentage.csv.gz
OFProductStrength,698819,1397628,4,,processed\bis232\bis232_ofproductstrength.csv.gz
OFReasonForObjection_ManufacturingLocations,237878,475752,5,,processed\bis232\bis232_ofreasonforobjection_manufacturinglocations.csv.gz
OFReasonForObjection_ProductionLocations,64334,128666,6,,processed\bis232\bis232_ofreasonforobjection_productionlocations.csv.gz
OFReasonForObjection_ProductionSubstituteLocations,13418,26834,6,,processed\bis232\bis232_ofreasonforobjection_productionsubstitutelocations.csv.gz
OFReasonForObjection_SubstituteLocations,53167,106332,5,,processed\bis232\bis232_ofreasonforobjection_substitutelocations.csv.gz
OFToughnessJoules,1322471,2641387,3,,processed\bis232\bis232_oftoughnessjoules.csv.gz
OFToughnessShear,1322471,2644702,3,,processed\bis232\bis232_oftoughnessshear.csv.gz
OFToughnessTemperature,1322471,2644694,3,,processed\bis232\bis232_oftoughnesstemperature.csv.gz
Surrebuttals,45917,54328,59,,processed\bis232\bis232_surrebuttals.csv.gz
